Label;Denomination;Content;Rock type / Mineral;Location;Producer;Comments;Links
GXR-4;;Copper-Mill;Copper-Mill Heads;Utah;United States Geological Survey;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-4_1.html
GXR-5;;Soil;Soil;B zone, Somerset County, ME;United States Geological Survey;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-5_1.html
GXR-6;USGS-6 2286 Soil;Soil;Soil;B zone, Davidson County, NC;United States Geological Survey;Rothnummer 2586;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-6_1.html
I 555;;Andesitic Lava;Andesitic Lava ;;;;
I555;;Andesitic Lava;Andesitic Lava;;;10g, Rodnr.2586;
IF-G;Iron Formation;Iron Formation;Iron Formation;West Greenland, GRL;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~3g Rothnummer 2586;http://www.geostandards.lanl.gov/AllAnalytes/All-IF-G_1.html
IF-G;Iron Formation;Iron Formation;Iron Formation;West Greenland, GRL;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~10g;http://www.geostandards.lanl.gov/AllAnalytes/All-IF-G_1.html
JA-1;;Andesite;Andesite;Hakone volcano, Quarternary, Manazura-machi, Kanagawa Prefecture, JPN;Geological Survey of Japan;;http://www.geostandards.lanl.gov/AllAnalytes/All-JA-1_1.html
JA-1 M;;Andesite;Andesite;Goshikidai sanukitoid, 14Ma, Sakaide, Kagawa Prefecture, JPN;;;http://www.geostandards.lanl.gov/AllAnalytes/All-JA-2_1.html
JA-1 M;Geochemical Standard JA-2;Andesite;Andesite;Goshikidai sanukitoid, 14Ma, Sakaide, Kagawa Prefecture, JPN;Geological Survey of Japan;Split 10 Position 84;http://www.geostandards.lanl.gov/AllAnalytes/All-JA-2_1.html
JA-2;;Andesite;Andesite;Goshikidai sanukitoid, 14Ma, Sakaide, Kagawa Prefecture, JPN;Geological Survey of Japan;;http://www.geostandards.lanl.gov/AllAnalytes/All-JA-2_1.html
JA-3;;Andesite;Andesite;Asama volcano erupted in 1783, Tsumagoi-mura, Gunma Prefecture, JPN;Geological Survey of Japan;;http://www.geostandards.lanl.gov/AllAnalytes/All-JA-3_1.html
JB-1;;Basalt;Basalt;Kitamatsuura Basalt, 7.6 Ma, Sasebo, Nagasaki Prefecture, JPN;Geological Survey of Japan;Split 1 Position 106;http://www.geostandards.lanl.gov/AllAnalytes/All-JB-1_1.html
JB-1A;Replacement sample of JB-1;Basalt;Basalt;;Geological Survey of Japan;;http://www.geostandards.lanl.gov/AllAnalytes/All-JB-1A_1.html
JB-1a M;;Basalt;Basalt;;Geological Survey of Japan;;
JB-2;;Basalt;Basalt;Oshima volcano erupted in 1950-51, Oshima, Tokyo, JPN;Geological Survey of Japan;Rothnummer 2586;http://www.geostandards.lanl.gov/AllAnalytes/All-JB-2_1.html
JDo-1;Geochemical Standard JDo-1;Dolomite;Dolomite;Kuzuu dolomite, Permina, Kuzuu-machi, Tochigi Prefecture, JPN;Geological Survey of Japan;Split 8 Position 15;http://www.geostandards.lanl.gov/AllAnalytes/All-JDo-1_1.html
JG-1;;Granodiorite;Granodiorite;Sori granodiorite, 91 Ma, Azuma-mura, Gunma Prefecture, JPN;Geological Survey of Japan;;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-1_1.html
JG-1A;Replacement sample of JG-1;Granodiorite;Granodiorite;;Geological Survey of Japan;3,39 g;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-1A_1.html
JG-2;;Granite;Granite;Naegi granite, Cretaceous, Hirukawa-mura, Gifu Prefecture, JPN;Geological Survey of Japan;Roth Nr.2586;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-2_1.html
JG-2;;Granite;Granite;Naegi granite, Cretaceous, Hirukawa-mura, Gifu Prefecture, JPN;Geological Survey of Japan;Split 4 Position 69;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-2_1.html
JG-2 (N);Granit;Granite;Granite;;;15.4 g;
JG-2(N);gemahlen;Granite;Granite;;;Roth Nr. 2586;
JG-3;;;Granodiorite;Mitoya granodiorite, 54 Ma, Mitoya-cho, Simane Prefecture, JPN;Geological Survey of Japan;;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-3_1.html
JGb-1;;Gabbro;Gabbro;Utsushigatake, 103 Ma, Funehiki-machi, Fukushima Prefecture, JPN;Geological Survey of Japan;Split 7 ;http://www.geostandards.lanl.gov/AllAnalytes/All-JGb-1_1.html
JGb-1 M;;Gabbro;Gabbro;;;;
JLA 2999;Soil;Soil;Soil;;;Roth Nr.2586;
JLk-1;Lake-Sediment;Aquatic Sediment;Lake Sediment;Lake Biwa, fresh water lake sediment, Shiga Prefecture, JPN;Geological Survey of Japan;Roth Nr.2586;http://www.geostandards.lanl.gov/AllAnalytes/All-JLk-1_1.html
JLk-1;Geochemical Standard JLk-1;Aquatic Sediment;Lake Sediment;Lake Biwa, fresh water lake sediment, Shiga Prefecture, JPN;Geological Survey of Japan;Split 5 Position 54;http://www.geostandards.lanl.gov/AllAnalytes/All-JLk-1_1.html
JLs-1;Limestone;Limestone;Limestone;Garo limestone, Triassic, Kamiiso-cho Hokkaido, JPN;Geological Survey of Japan;Roth Nr.2586;http://www.geostandards.lanl.gov/AllAnalytes/All-JLs-1_1.html
JLs-1;Geochemical Standard JLs-1;Limestone;Limestone;Garo limestone, Triassic, Kamiiso-cho Hokkaido, JPN;Geological Survey of Japan;Split 6 Positon 76;http://www.geostandards.lanl.gov/AllAnalytes/All-JLs-1_1.html
JP-1;;Peridotite;Peridotite;Horoman peridotite, Horoman, Hokkaido, JPN;Geological Survey of Japan;3,29 g Rothnummer 2586;http://www.geostandards.lanl.gov/AllAnalytes/All-JP-1_1.html
JP-1;Geochemical Standard JP-1;Peridotite;Peridotite;Horoman peridotite, Horoman, Hokkaido, JPN;Geological Survey of Japan;Split 2 Position 13;http://www.geostandards.lanl.gov/AllAnalytes/All-JP-1_1.html
JR-1;;Rhyolite;Rhyolite;Wada Toge obsidian, 0,8Ma, Wada-mura, Nagano Prefecture, JPN;Geological Survey of Japan;Split 5 Position 92;http://www.geostandards.lanl.gov/AllAnalytes/All-JR-1_1.html
JSd-2;Stream-sediment;Aquatic Sediment;Stream Sediment;Composite sample of eastern Ibaraki Prefecture, JPN;Geological Survey of Japan;Roth Nr. 2586;http://www.geostandards.lanl.gov/AllAnalytes/All-JSd-2_1.html
JSd-2;Geochemical Standard JSd-2;Aquatic Sediment;Stream Sediment;Composite sample of eastern Ibaraki Prefecture, JPN;Geological Survey of Japan;Split 2 Position 8;http://www.geostandards.lanl.gov/AllAnalytes/All-JSd-2_1.html
JSd-3;Geochemical Standard JSd-3;Aquatic Sediment;Stream Sediment;Composite sample of eastern Ibaraki Prefecture, JPN;Geological Survey of Japan;Split 2 Position 4;http://www.geostandards.lanl.gov/AllAnalytes/All-JSd-3_1.html
JSl-1;Slate;Slate;Slate;Toyama clay slate, Permian, Toyama-cho, Miyagi Prefecture, JPN;Geological Survey of Japan;Roth Nr.2586;http://www.geostandards.lanl.gov/AllAnalytes/All-JSl-1_1.html
